Usuario,Caso,Marcador,Tarjeta,Fecha y hora de transacci—n,Monto,Comercio,Modo de Entrada,Ind Com Elec
999bgsa,162249095,UNF,1234567890112135,01/11/21 09:18 AM,1488.57,WALMART.COM,E,7
999bgsa,162249095,UNF,1234567890112136,01/11/21 09:23 AM,4590.73,PAYPAL *DIYPESTCONT,E,7
999bgsa,162249095,UNF,1234567890112137,01/11/21 09:23 AM,4590.73,PAYPAL *DIYPESTCONT,E,7
999bgsa,162249095,UNF,1234567890112138,01/11/21 09:26 AM,4590.73,PRO PEST PRODUCTS INC,E,7
999bgsa,162249703,NF,1234567890112139,01/11/21 09:40 AM,20,AME*UBER I,E,7
999bgsa,162249703,NF,1234567890112140,01/11/21 09:43 AM,109.9,ST*UBER,K,0
999bgsa,162249607,NF,1234567890112141,01/11/21 09:37 AM,4001.85,ULINE  *SHIP SUPPLIES,E,7
999bgsa,162249905,NF,1234567890112142,01/11/21 09:47 AM,20,AMAZON MX,E,7
999bgsa,162250007,NF,1234567890112155,01/11/21 09:50 AM,316.53,OP*OPENPAY PAGOSEGURO,E,6
999bgsa,162249537,NF,1234567890112158,01/11/21 09:34 AM,200,MERCADO PAGO 5,E,7
999bgsa,162250225,NF,1234567890112134,01/11/21 09:58 AM,20745.37,CAPTERRA INC,E,7
999bgsa,162250265,NF,1234567890112130,01/11/21 09:59 AM,234328.7,GOOGLE*GSUITE MXN.IDES,E,7
999bgsa,162250393,NF,1234567890112135,01/11/21 10:03 AM,19078.49,BESTBUY.COM,E,6
999bgsa,162250627,NF,1234567890112136,01/11/21 09:47 AM,4060.38,AGODA.COM,E,7
999bgsa,162250627,NF,1234567890112137,01/11/21 10:10 AM,0,HOTELTONIGHT INC.,E,7
999bgsa,162250627,NF,1234567890112138,01/11/21 10:11 AM,8877,HOTELTONIGHT*VILLA PAN,E,7
999bgsa,162250733,NF,1234567890112139,01/11/21 10:13 AM,815,PAYPAL3,K,
999bgsa,162250041,NF,1234567890112140,01/11/21 09:52 AM,1035.71,A EAGLE OUTFTR,V,
999bgsa,162250099,NF,1234567890112141,01/11/21 09:53 AM,20.17,ST*UBER,K,0
999bgsa,162250179,NF,1234567890112142,01/11/21 09:55 AM,6814.52,SEC FINANZAS ADMO MU,E,6
999bgsa,162250179,NF,1234567890112155,01/11/21 09:56 AM,6814.52,SEC FINANZAS ADMO MU,E,6
999bgsa,162250323,NF,1234567890112158,01/11/21 10:01 AM,3696.92,ST*III,K,0
999bgsa,162250559,NF,1234567890112134,01/11/21 10:08 AM,0,FACEBK *ADS,E,7
999bgsa,162250995,NF,1234567890112130,01/11/21 10:20 AM,522.3,ST*STRIPE 2,K,0
999bgsa,162251169,NF,1234567890112135,01/11/21 10:24 AM,99,AMAZON MX,E,7
999bgsa,162251169,NF,1234567890112136,01/11/21 10:31 AM,20,AMAZON MX,E,7
999bgsa,162250789,NF,1234567890112137,01/11/21 10:14 AM,3177.81,MERCADO PAGO 4,E,7
999bgsa,162250821,NF,1234567890112138,01/11/21 10:15 AM,18.17,AME*RAPPI I,E,7
999bgsa,162250821,NF,1234567890112134,01/11/21 10:15 AM,535.88,AME*RAPPI II,E,7
999bgsa,162251525,NF,1234567890112130,01/11/21 10:34 AM,10764,GOOGLE*GSUITE LATAMBSC,E,7
999bgsa,162252213,NF,1234567890112135,01/11/21 10:55 AM,414854.57,GUNDERSON DETTMER STOU,E,7
999bgsa,162252213,NF,1234567890112136,01/11/21 10:55 AM,2822291.24,GUNDERSON DETTMER STOU,E,7
999bgsa,162252697,NF,1234567890112137,01/11/21 11:08 AM,3625.5,LIVERPOOL INTERNET EC,E,6
999bgsa,162252561,NF,1234567890112138,01/11/21 11:03 AM,2094,WALMART SUPER 1,E,7
999bgsa,162252795,NF,1234567890112134,01/11/21 11:10 AM,28900,MERCADO PAGO 5,E,7
999bgsa,162254161,NF,1234567890112130,01/11/21 11:46 AM,21456.58,Upwork -425606498REF,E,7
999bgsa,162254715,NF,1234567890112135,01/11/21 12:02 PM,1274.01,UBER CORNERSHOP,E,7
999bgsa,162254861,NF,1234567890112136,01/11/21 12:06 PM,582.3,WALMART SUPER 1,E,7
999bgsa,162254917,NF,1234567890112137,01/11/21 12:07 PM,5000,CLIPCOM*WE SOLUCIONES,E,7
